HGNC symbol	Ensembl Gene ID
PRSS22	ENSG00000005001
C6orf10	ENSG00000232106
	ENSG00000225384
	ENSG00000276473
	ENSG00000225218
	ENSG00000270739
IGLV2-28	ENSG00000253451
	ENSG00000263609
PIK3C3	ENSG00000078142
	ENSG00000259530
	ENSG00000273353
	ENSG00000240980
	ENSG00000266498
	ENSG00000259616
LILRB2	ENSG00000275463
	ENSG00000264981
NOL4L	ENSG00000197183
KRT16P5	ENSG00000230088
	ENSG00000251501
	ENSG00000264187
RPL29P23	ENSG00000241950
TAS2R14	ENSG00000212127
SPATA31B1P	ENSG00000231649
	ENSG00000250377
NFE2L3	ENSG00000050344
OLFM2	ENSG00000105088
	ENSG00000225643
MEF2BNBP1	ENSG00000256844
PRLR	ENSG00000113494
	ENSG00000237057
	ENSG00000273325
	ENSG00000262332
RPS23P3	ENSG00000244099
TEX33	ENSG00000185264
	ENSG00000277050
	ENSG00000250637
PIWIL3	ENSG00000184571
FRMD6-AS2	ENSG00000258537
ZG16B	ENSG00000162078
C10orf105	ENSG00000214688
CLDN10	ENSG00000134873
HLA-DRA	ENSG00000204287
TRIM27	ENSG00000215641
HLA-DOA	ENSG00000204252
TESK1	ENSG00000107140
	ENSG00000264956
SSX2	ENSG00000241476
TACC1P1	ENSG00000224920
RAB14	ENSG00000119396
UBL5	ENSG00000198258
RPS6P12	ENSG00000233309
	ENSG00000264304
	ENSG00000255272
BCYRN1	ENSG00000236824
MOG	ENSG00000234096
UPRT	ENSG00000094841
	ENSG00000270690
	ENSG00000238176
	ENSG00000237682
OR2J4P	ENSG00000229069
S100PBP	ENSG00000116497
	ENSG00000237833
	ENSG00000275206
WDR35	ENSG00000118965
HNRNPA1P26	ENSG00000239345
RAD52	ENSG00000002016
OR2I1P	ENSG00000226896
C1QBPP	ENSG00000215353
CEBPD	ENSG00000221869
C8orf86	ENSG00000196166
	ENSG00000269813
	ENSG00000262090
	ENSG00000225030
	ENSG00000233082
	ENSG00000260041
NOA1	ENSG00000084092
	ENSG00000260570
LSM2	ENSG00000172850
ERVMER34-1	ENSG00000226887
SOX21	ENSG00000125285
ELMO2P1	ENSG00000276172
	ENSG00000230910
	ENSG00000235426
RPS27AP3	ENSG00000226144
BCLAF1P1	ENSG00000248966
STX16-NPEPL1	ENSG00000254995
	ENSG00000271195
CSPP1	ENSG00000104218
	ENSG00000245864
SLC25A5P9	ENSG00000251078
OR4A12P	ENSG00000254723
	ENSG00000262888
	ENSG00000260626
	ENSG00000258420
	ENSG00000231728
	ENSG00000259675
	ENSG00000246379
MAGOH	ENSG00000162385
	ENSG00000260949
	ENSG00000259086
SNURF	ENSG00000273173
	ENSG00000276107
	ENSG00000257899
	ENSG00000248930
	ENSG00000250978
	ENSG00000249423
	ENSG00000248489
TOLLIP	ENSG00000078902
APOBEC1	ENSG00000111701
	ENSG00000235007
VN1R28P	ENSG00000227182
ANKRD28	ENSG00000206560
OR4A2P	ENSG00000227547
	ENSG00000278346
	ENSG00000241597
	ENSG00000250705
	ENSG00000259302
HMGN2P11	ENSG00000232605
CDH23-AS1	ENSG00000223817
KCNV2	ENSG00000168263
C4orf48	ENSG00000243449
	ENSG00000261470
	ENSG00000246982
	ENSG00000269966
BCL9P1	ENSG00000249238
HRASLS2	ENSG00000133328
	ENSG00000259244
ALDH7A1P4	ENSG00000234489
ZCCHC24	ENSG00000165424
DPPA3P1	ENSG00000227067
OR5B1P	ENSG00000233499
AKR1C2	ENSG00000151632
SLC39A9	ENSG00000029364
NFXL1	ENSG00000170448
LGR4	ENSG00000205213
PALM2	ENSG00000243444
STRAP	ENSG00000023734
FERMT1	ENSG00000101311
	ENSG00000241084
	ENSG00000183760
LGALS9DP	ENSG00000266786
SNAPC4	ENSG00000165684
	ENSG00000249904
LINC00933	ENSG00000259728
	ENSG00000255108
SLC27A4	ENSG00000167114
PHF5CP	ENSG00000267178
	ENSG00000273893
CEP68	ENSG00000011523
	ENSG00000232532
	ENSG00000237026
	ENSG00000240291
RBM4B	ENSG00000173914
	ENSG00000260845
PDS5B	ENSG00000083642
TBC1D3P3	ENSG00000235203
IFNW1	ENSG00000177047
CATSPER4	ENSG00000188782
	ENSG00000270462
	ENSG00000260991
MIPOL1	ENSG00000151338
HCG4P7	ENSG00000226517
SUPT4H1P	ENSG00000226247
	ENSG00000272407
	ENSG00000258923
	ENSG00000279659
	ENSG00000224959
KANK3	ENSG00000186994
CPEB2-AS1	ENSG00000247624
	ENSG00000236611
TP53RK	ENSG00000172315
CICP18	ENSG00000217929
	ENSG00000274612
	ENSG00000259981
	ENSG00000271452
RD3L	ENSG00000227729
	ENSG00000270190
ENPP7P1	ENSG00000249188
	ENSG00000261426
	ENSG00000248645
	ENSG00000280132
ATP5A1P3	ENSG00000263232
CCDC102B	ENSG00000150636
	ENSG00000258519
P2RX5	ENSG00000083454
	ENSG00000228740
TSR2	ENSG00000158526
GGT5	ENSG00000099998
MT3	ENSG00000087250
	ENSG00000229118
	ENSG00000241592
	ENSG00000272411
TMPOP1	ENSG00000229068
BNIP3P18	ENSG00000269055
IRAK2	ENSG00000134070
PBX4	ENSG00000105717
CMAS	ENSG00000111726
	ENSG00000277559
	ENSG00000270696
SYNJ2BP	ENSG00000213463
YAF2	ENSG00000015153
BNIP3P15	ENSG00000270716
DUSP7	ENSG00000164086
ACTA2-AS1	ENSG00000180139
	ENSG00000178836
RBMS1P1	ENSG00000225422
PLCB4	ENSG00000101333
	ENSG00000235192
SLC5A2	ENSG00000140675
	ENSG00000271177
	ENSG00000249944
	ENSG00000256072
	ENSG00000232879
HLA-DQA2	ENSG00000231526
	ENSG00000228532
UBA7	ENSG00000182179
	ENSG00000232411
TRIML1	ENSG00000184108
CYCSP29	ENSG00000255379
	ENSG00000251298
CYCSP27	ENSG00000255444
	ENSG00000267518
	ENSG00000254039
RNU6-1313P	ENSG00000199492
MIR6511A2	ENSG00000273613
	ENSG00000215859
	ENSG00000243596
	ENSG00000250031
FOXI2	ENSG00000186766
MIR4776-2	ENSG00000266354
MIR4776-1	ENSG00000266354
	ENSG00000265224
WDR36	ENSG00000134987
	ENSG00000278898
	ENSG00000260471
	ENSG00000229195
	ENSG00000266239
	ENSG00000279574
OCLM	ENSG00000262180
	ENSG00000250983
SERBP1P1	ENSG00000213740
	ENSG00000201916
SNORD116-10	ENSG00000200661
	ENSG00000255161
	ENSG00000216516
ARF1P2	ENSG00000213137
SLC26A8	ENSG00000112053
	ENSG00000272575
MIR3692	ENSG00000266617
ZNF776	ENSG00000152443
RNU6-1016P	ENSG00000252498
RPL34P21	ENSG00000244451
ABCC6	ENSG00000091262
	ENSG00000227496
RN7SL474P	ENSG00000264092
ATRNL1	ENSG00000107518
	ENSG00000271379
MIR1207	ENSG00000221176
	ENSG00000233702
PIAS4	ENSG00000105229
BCKDHB	ENSG00000083123
GCG	ENSG00000115263
TAPBP	ENSG00000206281
HSD3B1	ENSG00000203857
RN7SL849P	ENSG00000243115
MIR602	ENSG00000207693
RNU7-99P	ENSG00000252080
	ENSG00000229335
RBMY2HP	ENSG00000238073
	ENSG00000270387
GNS	ENSG00000135677
C1orf74	ENSG00000162757
MIR4530	ENSG00000266559
	ENSG00000221766
SEPT1	ENSG00000180096
	ENSG00000226349
MIR548AG1	ENSG00000265829
ADAMTS7P4	ENSG00000218052
UQCRHP4	ENSG00000242728
	ENSG00000270149
	ENSG00000221685
MIR548H4	ENSG00000221616
PAQR9	ENSG00000188582
MIR4697	ENSG00000264919
	ENSG00000221764
	ENSG00000265498
CSTF3	ENSG00000176102
	ENSG00000264552
ALAS1	ENSG00000023330
	ENSG00000213068
BUB1P1	ENSG00000270778
	ENSG00000206824
RNA5SP164	ENSG00000252342
RNU6-861P	ENSG00000252554
	ENSG00000266347
RNA5SP194	ENSG00000201532
	ENSG00000273717
MIR7159	ENSG00000276824
MIR4534	ENSG00000264505
	ENSG00000270790
	ENSG00000124399
RNU6ATAC42P	ENSG00000221564
RNU4ATAC13P	ENSG00000251741
SNORA78	ENSG00000273587
	ENSG00000227851
	ENSG00000199913
PARP14	ENSG00000173193
	ENSG00000265663
RNU6-417P	ENSG00000207443
	ENSG00000230406
	ENSG00000274164
CDC123	ENSG00000151465
RNU6-660P	ENSG00000201436
	ENSG00000276967
MIR222	ENSG00000207725
	ENSG00000266143
	ENSG00000238921
MRPL19	ENSG00000115364
RNA5SP507	ENSG00000200473
	ENSG00000278155
	ENSG00000275169
RNU6-1330P	ENSG00000199645
	ENSG00000206690
HIGD1AP18	ENSG00000253952
	ENSG00000212392
NAP1L2	ENSG00000186462
RNU7-61P	ENSG00000251706
	ENSG00000273811
RNU6-602P	ENSG00000223087
	ENSG00000264953
	ENSG00000207034
RN7SL547P	ENSG00000240584
	ENSG00000263425
	ENSG00000251467
MIR4646	ENSG00000264873
	ENSG00000277980
	ENSG00000263768
EFCAB2	ENSG00000203666
	ENSG00000199901
HMGN1P18	ENSG00000234927
MAPK6	ENSG00000069956
	ENSG00000263679
	ENSG00000199870
	ENSG00000212001
RNY4P23	ENSG00000201377
MIR6834	ENSG00000273602
RNU4-58P	ENSG00000200062
DGKB	ENSG00000136267
MIR340	ENSG00000198995
	ENSG00000278227
ENDOG	ENSG00000167136
RN7SL165P	ENSG00000241188
RNU7-85P	ENSG00000238884
	ENSG00000225226
	ENSG00000278286
RNU6-998P	ENSG00000251703
MIR3139	ENSG00000265623
MIR4470	ENSG00000264408
	ENSG00000264091
	ENSG00000267429
MIR4762	ENSG00000264160
TCEA1P1	ENSG00000197214
GPR160	ENSG00000173890
DUXA	ENSG00000258873
	ENSG00000274982
RNU6-837P	ENSG00000212358
MIR548A3	ENSG00000208032
ATP5J2-PTCD1	ENSG00000248919
RNU6-1004P	ENSG00000252393
	ENSG00000265085
RNU6-66P	ENSG00000200267
	ENSG00000251818
	ENSG00000276954
	ENSG00000278752
C8orf33	ENSG00000182307
RN7SKP7	ENSG00000222472
RNA5SP261	ENSG00000222468
	ENSG00000267145
	ENSG00000276990
RNU6-1135P	ENSG00000223015
	ENSG00000221234
RGS14	ENSG00000169220
CDH5	ENSG00000179776
MIR5187	ENSG00000263548
	ENSG00000274170
MIR3910-2	ENSG00000266855
MIR3910-1	ENSG00000266855
	ENSG00000275643
RNU6-668P	ENSG00000201050
MIR3156-1	ENSG00000263476
MIR4788	ENSG00000263554
	ENSG00000201048
	ENSG00000277311
SPHK1	ENSG00000176170
RN7SL610P	ENSG00000243847
	ENSG00000263886
	ENSG00000231078
	ENSG00000221541
	ENSG00000212604
RN7SL392P	ENSG00000242482
	ENSG00000237611
	ENSG00000264794
	ENSG00000272128
	ENSG00000252855
	ENSG00000271995
PPIAP26	ENSG00000150276
RNA5SP26	ENSG00000199276
	ENSG00000222095
MIR516B1	ENSG00000207946
	ENSG00000251879
PACS2	ENSG00000179364
TEAD4	ENSG00000197905
RNU2-46P	ENSG00000252847
MIR5590	ENSG00000263783
	ENSG00000274030
	ENSG00000278510
FAM180A	ENSG00000189320
	ENSG00000207020
	ENSG00000276843
	ENSG00000278425
RN7SL48P	ENSG00000266710
	ENSG00000252811
	ENSG00000212511
SVIL	ENSG00000197321
MIR6772	ENSG00000274816
RNU1-11P	ENSG00000206702
	ENSG00000276031
RNU6-258P	ENSG00000212186
MIR190B	ENSG00000215938
RNU4-55P	ENSG00000222663
	ENSG00000274607
	ENSG00000237268
LINC01363	ENSG00000231605
DTYMK	ENSG00000168393
	ENSG00000201088
RNU6-314P	ENSG00000252383
SUCLA2P1	ENSG00000224936
TRAJ9	ENSG00000211880
	ENSG00000212071
	ENSG00000277605
	ENSG00000221573
	ENSG00000233922
RNF146	ENSG00000118518
RNU6-419P	ENSG00000252839
	ENSG00000239823
RNA5SP387	ENSG00000201096
MIR22	ENSG00000275595
	ENSG00000276522
HID1	ENSG00000167861
RN7SL414P	ENSG00000239396
MIR516B2	ENSG00000207925
RN7SL432P	ENSG00000242769
	ENSG00000274757
RNA5SP209	ENSG00000223169
RN7SL690P	ENSG00000264879
RNA5SP334	ENSG00000201695
MIR2114	ENSG00000252454
RNU6-433P	ENSG00000200086
HSFY1	ENSG00000279680
HSFY2	ENSG00000279680
RNU6-785P	ENSG00000223256
MROH2B	ENSG00000171495
MIR548T	ENSG00000221296
	ENSG00000274852
	ENSG00000275446
	ENSG00000277592
RN7SL283P	ENSG00000240977
RNU6-406P	ENSG00000252279
	ENSG00000206817
RNU6-1205P	ENSG00000200495
SNORD126	ENSG00000238344
	ENSG00000221389
	ENSG00000277696
MIR6758	ENSG00000275657
HLA-DQB3	ENSG00000234968
	ENSG00000277843
NKX3-2	ENSG00000109705
RNU6-1028P	ENSG00000252973
RNU6-1095P	ENSG00000251957
	ENSG00000276860
	ENSG00000264479
RNU6-893P	ENSG00000238444
	ENSG00000253567
	ENSG00000239138
	ENSG00000280031
	ENSG00000264165
	ENSG00000273768
	ENSG00000274326
MIR128-2	ENSG00000207625
RNU6-1063P	ENSG00000199235
MIR6848	ENSG00000276987
	ENSG00000265654
	ENSG00000276003
RNA5SP451	ENSG00000222520
C12orf56	ENSG00000185306
	ENSG00000212224
RN7SL269P	ENSG00000243051
	ENSG00000263457
	ENSG00000278703
	ENSG00000235244
RNU1-106P	ENSG00000207110
	ENSG00000274740
	ENSG00000274568
	ENSG00000269839
RNU2-2P	ENSG00000222328
	ENSG00000266191
RNU6-609P	ENSG00000202329
RN7SKP3	ENSG00000223341
MIR4330	ENSG00000265789
	ENSG00000207395
	ENSG00000277116
	ENSG00000222613
	ENSG00000221774
	ENSG00000276664
RNU6-486P	ENSG00000199986
	ENSG00000265632
HEATR9	ENSG00000276986
SNORD46	ENSG00000200913
RN7SKP91	ENSG00000222784
RN7SL551P	ENSG00000243856
	ENSG00000212397
RNU2-28P	ENSG00000222389
RNU6-1172P	ENSG00000202095
	ENSG00000252615
NACA3P	ENSG00000121089
	ENSG00000206958
RBMY1B	ENSG00000278984
	ENSG00000279448
RN7SKP148	ENSG00000222111
	ENSG00000273653
SNORA15	ENSG00000207168
MIR8072	ENSG00000277700
MIR5703	ENSG00000266382
	ENSG00000220987
MIR4660	ENSG00000263407
RN7SL566P	ENSG00000241983
MIR4285	ENSG00000264675
	ENSG00000265330
RNA5SP271	ENSG00000252509
	ENSG00000252143
	ENSG00000277506
	ENSG00000264218
NF1P1	ENSG00000270831
	ENSG00000252809
MIR4263	ENSG00000265321
	ENSG00000278609
	ENSG00000207075
RN7SKP64	ENSG00000253015
	ENSG00000265463
RN7SKP246	ENSG00000201423
MIR6842	ENSG00000273836
	ENSG00000237666
	ENSG00000239128
	ENSG00000278440
	ENSG00000239008
MIR4731	ENSG00000265110
	ENSG00000280312
LINC00908	ENSG00000263812
	ENSG00000221040
	ENSG00000265280
	ENSG00000277637
	ENSG00000265013
MIR627	ENSG00000207712
	ENSG00000216125
RNVU1-15	ENSG00000207205
RBMY1D	ENSG00000279309
MAP1LC3C	ENSG00000197769
	ENSG00000212022
RN7SL605P	ENSG00000265566
MIR3192	ENSG00000265137
	ENSG00000212517
	ENSG00000273764
RN7SL220P	ENSG00000266467
	ENSG00000278042
RN7SKP108	ENSG00000223299
SNORD14A	ENSG00000272034
	ENSG00000236941
TRAV38-2DV8	ENSG00000211817
SNORD114-26	ENSG00000200413
	ENSG00000216109
SNX10	ENSG00000086300
MIR4276	ENSG00000265846
	ENSG00000275171
	ENSG00000212086
MIR4726	ENSG00000273627
	ENSG00000201339
SNORA6	ENSG00000206760
	ENSG00000276366
RNU1-95P	ENSG00000252166
RNU6-131P	ENSG00000212446
RN7SL606P	ENSG00000239932
RNA5SP125	ENSG00000201713
	ENSG00000278127
LINC01501	ENSG00000229613
MIR7851	ENSG00000278520
	ENSG00000212338
MIR452	ENSG00000207753
RBMY1E	ENSG00000280343
	ENSG00000202414
	ENSG00000238997
MIR1302-2	ENSG00000275690
MIR1302-9	ENSG00000275690
MIR1302-10	ENSG00000275690
MIR1302-11	ENSG00000275690
RNU6-35P	ENSG00000207260
RNU7-41P	ENSG00000251726
SH3TC2	ENSG00000169247
RNU6-672P	ENSG00000206638
C1orf27	ENSG00000157181
RNU4-13P	ENSG00000200889
RNU2-63P	ENSG00000222724
	ENSG00000201239
TBX5	ENSG00000089225
	ENSG00000264702
	ENSG00000247130
	ENSG00000280151
	ENSG00000275189
BATF2	ENSG00000168062
	ENSG00000212598
	ENSG00000222408
RNA5SP191	ENSG00000199455
MIR4779	ENSG00000265420
MIR361	ENSG00000199051
	ENSG00000249176
	ENSG00000264604
MIR4667	ENSG00000263892
	ENSG00000276946
RNU6-694P	ENSG00000200941
	ENSG00000274151
	ENSG00000230203
	ENSG00000276621
RN7SL441P	ENSG00000241413
PRY	ENSG00000278968
PRY2	ENSG00000278968
PRYP3	ENSG00000278968
PRYP4	ENSG00000278968
RNU6-441P	ENSG00000207275
	ENSG00000278497
MIR432	ENSG00000272458
	ENSG00000273610
RN7SKP101	ENSG00000223308
	ENSG00000276745
	ENSG00000273541
	ENSG00000238575
RNU6-9	ENSG00000207507
OR8R1P	ENSG00000256347
	ENSG00000207417
	ENSG00000264551
RNU6-293P	ENSG00000223191
PRB4	ENSG00000274839
MIR1302-3	ENSG00000221055
	ENSG00000274264
RN7SL420P	ENSG00000239984
TRAV37	ENSG00000259068
	ENSG00000278888
	ENSG00000264749
	ENSG00000264182
	ENSG00000207244
	ENSG00000276506
	ENSG00000270722
STAP2	ENSG00000178078
	ENSG00000274539
DRP2	ENSG00000102385
RBMY1J	ENSG00000280386
RBMY1F	ENSG00000280386
RNU6-402P	ENSG00000222610
	ENSG00000266591
	ENSG00000263810
MIR8064	ENSG00000275789
	ENSG00000259424
	ENSG00000275942
	ENSG00000221312
	ENSG00000252014
RNU7-95P	ENSG00000239007
	ENSG00000265573
RNU6-568P	ENSG00000253029
MIR548F3	ENSG00000221436
RNU6-623P	ENSG00000200013
	ENSG00000276381
SNORD86	ENSG00000212498
	ENSG00000249748
	ENSG00000263805
MIR1911	ENSG00000222715
	ENSG00000277857
	ENSG00000251744
	ENSG00000274168
RNU6-607P	ENSG00000223215
RNA5SP64	ENSG00000207341
	ENSG00000274246
RNU6-524P	ENSG00000206997
RN7SKP279	ENSG00000223315
	ENSG00000265950
	ENSG00000266688
RN7SL228P	ENSG00000244033
	ENSG00000207223
	ENSG00000274385
	ENSG00000234446
	ENSG00000212065
MIR542	ENSG00000207784
RNU4-75P	ENSG00000201491
RBMY1J	ENSG00000279323
RBMY1F	ENSG00000279323
MIR4418	ENSG00000266564
	ENSG00000207247
MIR548A2	ENSG00000207689
	ENSG00000207857
	ENSG00000263872
	ENSG00000207410
	ENSG00000207061
	ENSG00000239148
	ENSG00000274206
	ENSG00000197813
	ENSG00000212532
	ENSG00000278226
	ENSG00000265012
	ENSG00000206847
RNA5SP178	ENSG00000222312
RNA5-8S5	ENSG00000276700
MIR300	ENSG00000215957
	ENSG00000274500
MIR3683	ENSG00000266287
MIR520C	ENSG00000207738
MIR8070	ENSG00000278529
MIR6131	ENSG00000277073
RNU1-138P	ENSG00000206820
	ENSG00000207390
RN7SL817P	ENSG00000241791
	ENSG00000216136
	ENSG00000268157
	ENSG00000265249
	ENSG00000199442
	ENSG00000277331
	ENSG00000253065
RNU4-16P	ENSG00000201607
	ENSG00000275753
MIR767	ENSG00000211583
RNU6-391P	ENSG00000202050
RNU6-1291P	ENSG00000252400
	ENSG00000200318
MIR548AE2	ENSG00000265699
MIR8060	ENSG00000278103
	ENSG00000227716
RNU6-160P	ENSG00000207321
RNU1-14P	ENSG00000199629
MIR1199	ENSG00000277805
MIR500B	ENSG00000239057
RNU6-786P	ENSG00000252658
	ENSG00000263907
DAZ2	ENSG00000279634
HMGCS2	ENSG00000134240
MIR4439	ENSG00000263828
RNA5SP31	ENSG00000223076
RNA5SP152	ENSG00000202054
RN7SL847P	ENSG00000265319
RNU6-61P	ENSG00000202398
ZNF430	ENSG00000118620
MIR6718	ENSG00000275518
MIR2682	ENSG00000276280
	ENSG00000275872
	ENSG00000278334
	ENSG00000265441
MIR6868	ENSG00000275360
RNU6-1230P	ENSG00000207121
MIR1324	ENSG00000221795
	ENSG00000212529
	ENSG00000277771
	ENSG00000276782
RN7SL470P	ENSG00000263669
	ENSG00000266636
RNA5SP82	ENSG00000252516
RNA5SP355	ENSG00000202187
RNU6ATAC29P	ENSG00000221015
	ENSG00000276783
	ENSG00000273913
MIR6761	ENSG00000274697
RNU7-3P	ENSG00000252244
MIR1205	ENSG00000221771
SNORD115-27	ENSG00000201300
	ENSG00000274171
	ENSG00000237923
RNA5SP151	ENSG00000202502
	ENSG00000279867
RNU6ATAC15P	ENSG00000221206
MIR506	ENSG00000207731
MIR3202-1	ENSG00000265176
MIR3202-2	ENSG00000265176
	ENSG00000250863
MIR4444-1	ENSG00000263721
MIR4444-2	ENSG00000263721
	ENSG00000221202
WBSCR27	ENSG00000165171
	ENSG00000201316
RN7SKP83	ENSG00000252321
	ENSG00000206808
	ENSG00000265155
NADSYN1	ENSG00000172890
MIR205	ENSG00000276335
	ENSG00000278470
MIR548G	ENSG00000221369
RN7SKP42	ENSG00000222845
	ENSG00000264560
RN7SKP113	ENSG00000200761
RNU6-122P	ENSG00000252627
	ENSG00000221693
	ENSG00000199566
	ENSG00000267710
	ENSG00000226210
RN7SKP210	ENSG00000238875
	ENSG00000253012
CDY1	ENSG00000279787
CDY1B	ENSG00000279787
	ENSG00000266361
RNA5SP90	ENSG00000201671
MIR6847	ENSG00000276472
	ENSG00000266755
	ENSG00000212229
RNA5SP462	ENSG00000252539
	ENSG00000201026
	ENSG00000251454
RNU6-49P	ENSG00000206983
RNU6-1281P	ENSG00000252032
RNU4ATAC16P	ENSG00000221439
TTC37	ENSG00000198677
RNU6-257P	ENSG00000222170
RNU6-887P	ENSG00000222592
	ENSG00000263985
MIR4742	ENSG00000266618
	ENSG00000274117
MIR5000	ENSG00000263909
	ENSG00000199424
	ENSG00000206795
	ENSG00000278700
RNA5SP328	ENSG00000222740
	ENSG00000265619
	ENSG00000261108
	ENSG00000263954
	ENSG00000265587
MIR548L	ENSG00000221230
RN7SKP14	ENSG00000251809
RNA5S10	ENSG00000199910
MIR4764	ENSG00000266012
RNU6-187P	ENSG00000206866
	ENSG00000277648
RNA5SP437	ENSG00000253058
DLX4	ENSG00000108813
MIR6837	ENSG00000274083
HLA-DMA	ENSG00000242685
RNU6-692P	ENSG00000207225
MIR125B2	ENSG00000207863
	ENSG00000263866
	ENSG00000266747
	ENSG00000280045
	ENSG00000278093
RNU6-297P	ENSG00000207366
OR51B2	ENSG00000279012
RN7SL187P	ENSG00000240299
	ENSG00000242120
MIR3921	ENSG00000264897
ATG5	ENSG00000057663
CCL7	ENSG00000108688
	ENSG00000225183
SNORD115-46	ENSG00000276844
RNA5SP28	ENSG00000200711
	ENSG00000276239
	ENSG00000222309
	ENSG00000278413
	ENSG00000273986
RN7SL328P	ENSG00000240853
RNA5SP103	ENSG00000238379
	ENSG00000252657
RNU6-1189P	ENSG00000206685
MIR3684	ENSG00000265213
RNU6-1166P	ENSG00000222152
	ENSG00000199862
	ENSG00000276364
KIR3DL3	ENSG00000278729
OR52B4	ENSG00000280253
	ENSG00000276802
	ENSG00000274255
	ENSG00000201584
RNU6-264P	ENSG00000252943
RNU6-969P	ENSG00000206627
	ENSG00000278163
	ENSG00000221266
MIR3189	ENSG00000264175
	ENSG00000277568
	ENSG00000201885
	ENSG00000252802
	ENSG00000274285
	ENSG00000275510
RNA5-8SP3	ENSG00000201227
	ENSG00000275304
	ENSG00000262271
SNORD12B	ENSG00000222365
	ENSG00000242308
	ENSG00000221454
TRAJ28	ENSG00000211861
RN7SL359P	ENSG00000244384
MIR130A	ENSG00000208009
MIR6737	ENSG00000276584
	ENSG00000275689
	ENSG00000278218
INPP5E	ENSG00000148384
RN7SKP75	ENSG00000199940
C14orf182	ENSG00000279627
	ENSG00000278676
MIR5583-2	ENSG00000266148
MIR5583-1	ENSG00000266148
	ENSG00000264640
RNU6-686P	ENSG00000201709
MIR186	ENSG00000207721
ST13P4	ENSG00000232150
	ENSG00000263401
	ENSG00000222701
RNA5SP304	ENSG00000223131
	ENSG00000254943
	ENSG00000276089
MIR150	ENSG00000207782
RN7SL159P	ENSG00000242281
	ENSG00000274689
	ENSG00000221629
RN7SKP138	ENSG00000265903
MIR4634	ENSG00000266890
	ENSG00000221210
	ENSG00000273948
	ENSG00000265524
RNU6-1031P	ENSG00000207504
RNU6-141P	ENSG00000222431
	ENSG00000252852
C4orf3	ENSG00000279402
	ENSG00000221655
	ENSG00000273854
MIR26A2	ENSG00000207789
MIR3176	ENSG00000266235
	ENSG00000278748
	ENSG00000252682
	ENSG00000257902
	ENSG00000276494
TRAJ49	ENSG00000211840
RNU6-28P	ENSG00000199248
	ENSG00000221345
	ENSG00000223249
	ENSG00000223291
	ENSG00000237234
RNU7-96P	ENSG00000238719
RNA5SP234	ENSG00000200786
	ENSG00000263504
MIR214	ENSG00000207949
MIR6515	ENSG00000274417
	ENSG00000264124
SDK1	ENSG00000146555
	ENSG00000252762
EGFLAM-AS2	ENSG00000248572
	ENSG00000239482
SNORA70C	ENSG00000207268
RNU6-1055P	ENSG00000212387
MIR4515	ENSG00000263643
	ENSG00000253295
RPS4Y2	ENSG00000280146
	ENSG00000222331
	ENSG00000277285
MIR6817	ENSG00000277872
RNU6-582P	ENSG00000199859
	ENSG00000278047
MIR1285-2	ENSG00000221238
MIR6762	ENSG00000274822
	ENSG00000277525
VTRNA1-1	ENSG00000199990
	ENSG00000202141
RNU7-154P	ENSG00000252003
RN7SL272P	ENSG00000242360
RN7SL792P	ENSG00000239888
MIR5579	ENSG00000266570
